SELFIES	MW	LogP	TPSA	HBA	HBD	RotB
[C][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][O][N][C][=N][C][=C][C][Branch1][S][C][=C][N][=C][Branch1][C][C][N][Ring1][=Branch1][C][Branch1][C][C][C][=N][Ring1][#C][C][=C][Ring2][Ring1][=Branch1]	399.52000000000015	4.156720000000003	89.77	7	1	7
[C][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][Branch2][N][C][=C][C][=Branch1][C][=O][N][C][=C][C][=C][N][=C][S][C][Ring1][Branch1][=C][Ring1][=Branch2][Ring1][=N][C][=C][Ring2][Ring1][Branch1]	386.4580000000001	2.6095000000000006	100.19000000000001	6	3	4
[N][C][N][=C][C][=C][C][Branch2][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][Branch1][C][F][Branch1][C][F][F][=C][N][Ring2][Ring1][Ring1][C][=Ring2][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][F]	461.3460000000001	4.555300000000002	86.69	6	1	5
[N][#C][C][=C][Branch2][Ring2][Ring2][C][C][=C][C][=N][C][Branch1][C][N][=C][Branch1][P][C][=Branch1][C][=O][C][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][F][N][Ring1][S][C][=Ring2][Ring1][Ring2][C][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][F]	436.36800000000005	4.659180000000002	84.18	5	1	4
[C][C][Branch1][C][C][Branch1][=Branch1][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C][C][C][N][C][=N][C][Branch2][Ring1][Branch2][N][C][=C][C][=C][C][Branch1][=N][N][C][=Branch1][C][=O][N][C][C][C][C][Ring1][Branch1][=C][Ring1][=C][=N][C][=C][Ring2][Ring1][Branch1][Br]	547.4580000000003	3.0401000000000007	154.37	7	5	10
[C][C][=C][Branch1][C][Br][C][=Branch1][C][=O][N][Branch1][Branch2][C][C][C][C][C][Ring1][Branch1][C][=N][C][Branch2][Ring1][Ring2][N][C][=C][C][=C][Branch1][=Branch2][N][C][C][N][C][C][Ring1][=Branch1][C][=C][Ring1][N][=N][C][=C][Ring2][Ring1][=C][Ring2][Ring1][Ring1]	483.4140000000002	4.130720000000002	75.08000000000001	7	2	4
[C][C][Branch2][Ring1][Ring2][N][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][C][=C][Ring1][#Branch2][=C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2]	329.38100000000003	2.1292	101.28999999999999	4	3	3
[O][=C][Branch2][Ring1][#C][N][C][=N][NH1][C][=N][C][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][=C][Branch1][C][Br][C][=C][Ring1][P][Ring1][=C][C][C][C][Ring1][Ring1]	373.21000000000015	3.4415000000000004	90.9	4	3	3
[N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][=Branch1][N][N][=C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][Ring1][O][C][=C][Ring2][Ring1][Ring1]	332.34100000000007	0.8079000000000001	133.88	6	4	3
[N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][=Branch1][N][N][=C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][I][C][=C][Ring1][#Branch1][Ring1][O][C][=C][Ring2][Ring1][Ring1]	442.23800000000006	1.7069	113.65	5	3	3
